epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,254.671,1.31824,0.85885,1.33923,0.86678,0.77794,0.84721,0.50739,1.46498,0.82414,1.43749,0.0005941,0.0005941,0.0005941
43,260.529,1.33075,0.87917,1.32452,0.89296,0.78907,0.8559,0.51804,1.46457,0.8242,1.45952,0.0005842,0.0005842,0.0005842
44,266.359,1.2978,0.85845,1.31731,0.88658,0.77639,0.85146,0.50407,1.42929,0.81385,1.42112,0.0005743,0.0005743,0.0005743
45,272.339,1.28261,0.83928,1.29749,0.90114,0.79151,0.86314,0.5099,1.47688,0.80791,1.45924,0.0005644,0.0005644,0.0005644
46,278.284,1.3182,0.8633,1.32003,0.89357,0.79776,0.85266,0.51615,1.45356,0.81257,1.4438,0.0005545,0.0005545,0.0005545
47,284.168,1.31124,0.85252,1.32621,0.89476,0.80181,0.86491,0.51164,1.43394,0.80736,1.43718,0.0005446,0.0005446,0.0005446
48,290.105,1.3101,0.85599,1.32617,0.89,0.7753,0.8471,0.51633,1.44646,0.80895,1.44278,0.0005347,0.0005347,0.0005347
49,295.892,1.27759,0.83196,1.30505,0.88736,0.79522,0.8631,0.52384,1.44909,0.78611,1.45581,0.0005248,0.0005248,0.0005248
50,301.712,1.27988,0.82564,1.31119,0.88757,0.80692,0.85709,0.52378,1.44175,0.79774,1.43857,0.0005149,0.0005149,0.0005149
51,307.489,1.28588,0.83793,1.29373,0.87668,0.80402,0.85825,0.51754,1.44591,0.79676,1.44712,0.000505,0.000505,0.000505
52,313.339,1.27608,0.81488,1.30549,0.89521,0.80729,0.86925,0.52202,1.45592,0.79361,1.43753,0.0004951,0.0004951,0.0004951
53,319.341,1.26933,0.82352,1.29341,0.89257,0.80457,0.86318,0.51433,1.45687,0.78284,1.45293,0.0004852,0.0004852,0.0004852
54,325.274,1.26013,0.81511,1.28818,0.8936,0.80158,0.86319,0.5249,1.44948,0.75166,1.44348,0.0004753,0.0004753,0.0004753
55,331.096,1.25277,0.79312,1.30047,0.9028,0.80264,0.86236,0.51639,1.44397,0.76941,1.44202,0.0004654,0.0004654,0.0004654
56,336.917,1.26968,0.80874,1.29312,0.88162,0.80569,0.85584,0.52179,1.43582,0.77363,1.44203,0.0004555,0.0004555,0.0004555
57,342.782,1.255,0.7987,1.30414,0.88443,0.81302,0.86863,0.52014,1.4518,0.76684,1.45615,0.0004456,0.0004456,0.0004456
58,348.627,1.2499,0.8106,1.29383,0.888,0.7978,0.8523,0.51403,1.43472,0.76798,1.44495,0.0004357,0.0004357,0.0004357
59,354.446,1.25053,0.79319,1.27662,0.88568,0.79179,0.85895,0.52643,1.42598,0.77264,1.4287,0.0004258,0.0004258,0.0004258
60,360.383,1.25638,0.79308,1.298,0.90585,0.78969,0.86107,0.51888,1.44757,0.76972,1.43793,0.0004159,0.0004159,0.0004159
61,366.309,1.25499,0.78899,1.28206,0.88202,0.81808,0.86653,0.5213,1.44613,0.77011,1.4299,0.000406,0.000406,0.000406
62,372.153,1.23547,0.78747,1.28597,0.89562,0.8184,0.87063,0.52404,1.44855,0.75215,1.43473,0.0003961,0.0003961,0.0003961
63,378.046,1.25301,0.78177,1.28198,0.8844,0.81802,0.86477,0.52478,1.42276,0.75342,1.42884,0.0003862,0.0003862,0.0003862
64,383.91,1.2316,0.76046,1.26955,0.88813,0.79655,0.8622,0.51366,1.46668,0.77286,1.44115,0.0003763,0.0003763,0.0003763
